city,population,wiki
Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest
Szeged,158829 ,https://hu.wikipedia.org/wiki/Szeged
?,1671004 ,http://hu.wikipedia.org/wiki/Budapest
Hercegszántó,1645 ,https://hu.wikipedia.org/wiki/Hercegszántó
Kispest,,http://hu.wikipedia.org/wiki/Kispest
Tatabánya,65874 ,https://hu.wikipedia.org/wiki/Tatabánya
Kisvárda,14990 ,https://hu.wikipedia.org/wiki/Kisvárda
Arad,145078 ,http://hu.wikipedia.org/wiki/Arad_(Rom%C3%A1nia)
Sashalom,15288 ,https://hu.wikipedia.org/wiki/Sashalom
Sopron,61784 ,https://hu.wikipedia.org/wiki/Sopron
Szerencs,8445 ,http://hu.wikipedia.org/wiki/Szerencs
Kakucs,3150 ,https://hu.wikipedia.org/wiki/Kakucs
Kiskunmajsa,11675 ,https://hu.wikipedia.org/wiki/Kiskunmajsa
Békés,17726 ,https://hu.wikipedia.org/wiki/Békés
Debrecen,201582 ,https://hu.wikipedia.org/wiki/Debrecen
Porcsalma,2576 ,https://hu.wikipedia.org/wiki/Porcsalma
Hajdúböszörmény,29574 ,https://hu.wikipedia.org/wiki/Hajdúböszörmény
Gyón,,http://hu.wikipedia.org/wiki/Gy%C3%B3n
Újkígyós,4683 ,https://hu.wikipedia.org/wiki/Újkígyós
Budafok,26782 ,https://hu.wikipedia.org/wiki/Budafok
Oroszlány,18064 ,https://hu.wikipedia.org/wiki/Oroszlány
Győr,130020 ,https://hu.wikipedia.org/wiki/Győr
Nagyvárad,183105 ,https://hu.wikipedia.org/wiki/Nagyvárad
Fiume,107964 ,https://hu.wikipedia.org/wiki/Fiume
Barót,4753 ,https://hu.wikipedia.org/wiki/Barót
Újpest,116057 ,http://hu.wikipedia.org/wiki/%C3%9Ajpest_(t%C3%B6rt%C3%A9nelmi_telep%C3%BCl%C3%A9s)
Szombathely,78446 ,https://hu.wikipedia.org/wiki/Szombathely
Balatonújlak,445 ,https://hu.wikipedia.org/wiki/Balatonújlak
