name,city,wiki,birth_date
Dajka László,Nyíregyháza,https://hu.wikipedia.org/wiki/Nyíregyháza,1959.04.29
Dalnoki Jenő,Budapest,https://hu.wikipedia.org/wiki/Budapest,1932.12.12
Dán Vilmos,Stájerlakanina,https://hu.wikipedia.org/wiki/Stájerlakanina,1902.09.10
Danka Imre,Szombathely,https://hu.wikipedia.org/wiki/Szombathely,1930.12.24
Dárdai Márton,Berlin,https://hu.wikipedia.org/wiki/Berlin,2002.02.12
Dárdai Pál,Pécs,https://hu.wikipedia.org/wiki/Pécs,1976.03.16
Dárdai Pál,Berlin,https://hu.wikipedia.org/wiki/Berlin,1999.04.24
Deák Ferenc,Budapest,https://hu.wikipedia.org/wiki/Budapest,1922.01.16
Debreceni András,Nagykanizsa,https://hu.wikipedia.org/wiki/Nagykanizsa,1989.04.21
Dénes József,Kispest,https://hu.wikipedia.org/wiki/Kispest,1905.05.04
Déri Károly,Budapest,https://hu.wikipedia.org/wiki/Budapest,1910.09.26
Détári Lajos,Budapest,https://hu.wikipedia.org/wiki/Budapest,1963.04.24
Deutsch Árpád,?,,1894.10.01
Devecseri Szilárd,Szombathely,https://hu.wikipedia.org/wiki/Szombathely,1990.02.13
Dibusz Dénes,Pécs,https://hu.wikipedia.org/wiki/Pécs,1990.11.16
Disztl László,Baja,https://hu.wikipedia.org/wiki/Baja,1962.06.04
